provider,pair,timeframe,window,expected,rows,unique_times,missing_expected,extra_times,coverage_pct,first,last,elapsed_s,requests,status,notes
kraken_rest_ohlc,BTC/USDT,1h,2016-06-18,24,721,721,24,721,0.0,2026-05-20T23:00:00+00:00,2026-06-19T23:00:00+00:00,0.303,1,ok,REST OHLC is recent-tail limited; not valid for old history if returned times do not overlap request
kraken_rest_ohlc,BTC/USDT,1d,2016-06-18,1,721,721,1,721,0.0,2024-06-29T00:00:00+00:00,2026-06-19T00:00:00+00:00,0.297,1,ok,REST OHLC is recent-tail limited; not valid for old history if returned times do not overlap request
kraken_rest_ohlc,BTC/USDT,1m,2020-01-01,1440,721,721,1440,721,0.0,2026-06-19T11:15:00+00:00,2026-06-19T23:15:00+00:00,0.283,1,ok,REST OHLC is recent-tail limited; not valid for old history if returned times do not overlap request
kraken_rest_ohlc,BTC/USDT,1h,2020-01-01,24,721,721,24,721,0.0,2026-05-20T23:00:00+00:00,2026-06-19T23:00:00+00:00,0.306,1,ok,REST OHLC is recent-tail limited; not valid for old history if returned times do not overlap request
kraken_rest_ohlc,BTC/USDT,1d,2020-01-01,1,721,721,1,721,0.0,2024-06-29T00:00:00+00:00,2026-06-19T00:00:00+00:00,0.3,1,ok,REST OHLC is recent-tail limited; not valid for old history if returned times do not overlap request
kraken_rest_ohlc,BTC/USDT,1m,2024-01-01,1440,721,721,1440,721,0.0,2026-06-19T11:15:00+00:00,2026-06-19T23:15:00+00:00,0.306,1,ok,REST OHLC is recent-tail limited; not valid for old history if returned times do not overlap request
kraken_rest_ohlc,BTC/USDT,1h,2024-01-01,24,721,721,24,721,0.0,2026-05-20T23:00:00+00:00,2026-06-19T23:00:00+00:00,0.298,1,ok,REST OHLC is recent-tail limited; not valid for old history if returned times do not overlap request
kraken_rest_ohlc,BTC/USDT,1d,2024-01-01,1,721,721,1,721,0.0,2024-06-29T00:00:00+00:00,2026-06-19T00:00:00+00:00,0.311,1,ok,REST OHLC is recent-tail limited; not valid for old history if returned times do not overlap request
kraken_rest_ohlc,BTC/USDT,1m,2026-06-18,1440,0,0,1440,0,0.0,,,0.263,1,errors=['EGeneral:Too many requests'],REST OHLC is recent-tail limited; not valid for old history if returned times do not overlap request
kraken_rest_ohlc,BTC/USDT,1h,2026-06-18,24,0,0,24,0,0.0,,,0.279,1,errors=['EGeneral:Too many requests'],REST OHLC is recent-tail limited; not valid for old history if returned times do not overlap request
